"event","bout_gold","fouler","foul_type","fight_paused","point_deduction","foul_idx","bout_key","bout_model","context","foul_type_guess","foul_resulted_in_deduction","referee_paused","round_mentioned","predicted_foul_type","fouler_model","match_foul_type","match_fouler","match_pause","match_deduction","match_all","foul_acc","fouler_acc","pause_acc","ded_acc","all_acc"
"UFC-covington-buckley-14-12-2024","Marcos vs Yanez","Marcos","eye poke",TRUE,FALSE,1,"marcos vs yanez",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC-covington-buckley-14-12-2024","Grant vs Taveras","Grant","groin strike",TRUE,FALSE,1,"grant vs taveras",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC-covington-buckley-14-12-2024","Kape vs Silva","Silva","groin strike",FALSE,FALSE,2,"kape vs silva","Manel Kape (125) vs. Bruno Silva (126)","Kape gets kicked in the groin again.","kicked in the groin",FALSE,FALSE,"Round 1","groin strike","Kape",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC-deridder-allen-18-10-2025","Ridder vs Allen","Ridder","back of head strike",FALSE,FALSE,1,"ridder vs allen","Reinier de Ridder (186) vs. Brendan Allen (186)","De Ridder flattens Allen out for a second and stars bludgeoning him with punches to the side and back of the head, and Herzog is telling him to knock it off but little more.","punches to the side and back of the head",FALSE,FALSE,"Round 1","back of head strike","Allen",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC-imavov-borralho-06-09-2025","Ribeiro vs Sy","Sy","back of head strike",FALSE,FALSE,1,"ribeiro vs sy",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC-lewis-teixeira-12-06-2025","Tafa vs Tokkos","Tafa","back of head strike",FALSE,FALSE,1,"tafa vs tokkos","Junior Tafa (206) vs. George Tokkos (206)","Tafa shifts to his back again, and Tokkos considers an arm-triangle choke and is admonished for eye gouging when he puts his fingers on Tafaâs face.","eye gouging",FALSE,FALSE,"Round 2","eye poke","Tokkos",FALSE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC-lewis-teixeira-12-06-2025","Tafa vs Tokkos","Tokkos","back of head strike",FALSE,FALSE,2,"tafa vs tokkos","Junior Tafa (206) vs. George Tokkos (206)","The Kiwi hacks down the back of the head a few times, grabs the fence and is still dragged to his seat courtesy of the Tokkos single.","hacks down the back of the head",FALSE,FALSE,"Round 1","back of head strike","Tafa",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC-tsarukyan-hooker-22-11-2025","Almabayev vs Perez","Almabayev","back of head strike",FALSE,FALSE,3,"almabayev vs perez",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC320-ankalaev-pereira-04-10-2025","Santos vs Yoo","Santos","headbutt",FALSE,FALSE,1,"santos vs yoo","Daniel Santos (151) vs. Joo Sang Yoo (152.5)","Santos headbutts Yoo in the chest a couple times, and Dean tells him he has to stop doing that.","headbutt",FALSE,FALSE,"Round 1","headbutt","UNKNOWN",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC320-ankalaev-pereira-04-10-2025","Chiasson vs Santos","Chaisson","back of head strike",FALSE,FALSE,1,"chiasson vs santos","Macy Chiasson (137.5: Missed Weight) vs. Yana Santos (135)","Tognoni warns the American for striking the back of the head, so she stops hitting and isolates a rear-naked choke.","back of the head",FALSE,FALSE,"Round 3","back of head strike","Santos",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
