"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",1,"Josefine Lindgren Knutsson (116) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",2,"Piera Rodriguez (116) BETTING PREVIEW | SCOUTING REPORT | ODDS: Knutsson (-230), Rodriguez (+190) Round 1 The night's opening bout will see Josefine Lindgren Knutsson attempt to stay undefeated against Piera Rodriguez.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",3,"The referee is Jason Herzog.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",4,"Rodriguez takes the center of the Octagon and lands a 1-2 that catches Knutsson off guard.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",5,"Knutsson stumbles, and the two clinch against the cage.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",6,"Knutsson lands a few knees but gets taken down by Rodriguez, who is in control.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",7,"Knutsson is comfortable in guard and then uses the cage to get back to her feet.",FALSE,FALSE,0,0.00669285092428486,"strong_anchor","reaction_only|gate_reaction_only",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",8,"Rodriguez eats a knee and Knutsson is able to finally get to distance.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",9,"That doesn't last as Rodriguez gets another takedown.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",10,"Knutsson is going for a gogoplata but isn't fully committing to it.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",11,"Rodriguez is safe, but Knutsson is starting to stand back up.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",12,"Rodriguez eats a series of punches after Knutsson gets to her feet.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",13,"The two women exchange head kicks that glance off each others' shoulders.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",14,"Rodriguez lands a nice knee and then gets another takedown.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",15,"Rodriguez is in half-guard with a minute left.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",16,"Knutsson landing elbows from the bottom and Rodriguez stands up and passes to side control.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",17,"Rodriguez landing some hard elbows that are hurting Knutsson and then stands up as the round ends. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Sherdog Scores Tyler Treese scores the round: 10-9 Rodriguez Tristen Critchfield scores the round: 10-9 Rodriguez Brian Knapp scores the round: 10-9 Rodriguez Round 2 Knutsson eats a leg kick to start the second frame.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",18,"Rodriguez aggressively enters, throwing punches, and gets another takedown.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",19,"Knutsson's takedown defense is leaving a lot to be desired, as is Rodriguez's ability to keep her opponent down as Knutsson gets back to her feet.",FALSE,FALSE,0,0.00669285092428486,"","reaction_only|gate_reaction_only",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",20,"Nice body kick from Knutsson that lands.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",21,"Rodriguez gets a clinch and lands several knees before tripping Knutsson and securing another takedown.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",22,"Knutsson is comfortable in guard but is losing the fight.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",23,"Rodriguez is getting her hands free and landing some solid shots.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",24,"Knutsson gives up mount position, but Rodriguez unloads wildly and then loses position.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",25,"Knutsson is back to her feet temporarily but is up against the cage as Rodriguez is going for yet another takedown.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",26,"Knutsson is able to almost get the back of Rodriguez after a takedown goes awry but the round ends before anything can really happen.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",27,"During the scramble, Rodriguez got her nose busted and is really bleeding.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 2","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",28,"Sherdog Scores Tyler Treese scores the round: 10-9 Rodriguez Tristen Critchfield scores the round: 10-9 Rodriguez Brian Knapp scores the round: 10-9 Rodriguez Round 3 Rodriguez throws a front kick that comes up short but has been patched up and is no longer bleeding.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 3","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",29,"Knutsson gives up what seems like her 50th takedown of the night.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",30,"Knutsson has a guillotine choke, but she's in half-guard, and it doesn't seem like Rodriguez is in any danger at all.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",31,"Rodriguez gets into side control momentarily, looking for a shoulder choke.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",32,"Knutsson recovers half-guard as Rodriguez lands punches.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",33,"Rodriguez is keeping busy enough, landing small punches on top.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",34,"Two minutes left.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",35,"Knutsson isn't trying to get back to her feet and seems happy to just lose a decision.",FALSE,FALSE,0,0.00669285092428486,"","reaction_only|gate_reaction_only",NA,"Round 3","UFC-covington-buckley-14-12-2024"
"Josefine Lindgren Knutsson (116) vs. Piera Rodriguez (116)",36,"Rodriguez gets mount with a minute left and lands some hard shots.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC-covington-buckley-14-12-2024"
