"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Shauna Bannon (116) vs. Sam Hughes (116)",1,"Shauna Bannon (116) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",2,"Sam Hughes (116) BETTING PREVIEW | SCOUTING REPORT | ODDS: Hughes (-310); Bannon (+250) Round 1 After a week to catch our collective breaths, the UFC sallies forth to Paris.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",3,"As part of its annual French fight card series, local fans will be treated to a bevy of European athletes with decent matchups.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",4,"It all comes to a head with French fighters in the main and co-main attractions, but before then, there are 11 more fights to get through.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",5,"We commence the festivities with the sole women's match on the card, one that will play out at strawweight.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",6,"Bannon (7-1, 2-1 UFC) will look to keep her momentum going as she clashes with .500 UFC fighter Hughes (10-6, 5-5 UFC) who may be better than her resume appears.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",7,"The two 115ers will be joined in the Octagon by referee Lukasz Bosacki, who clocks them in as they rush towards one another without a fist bump in sight.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",8,"It's on with the show. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement They both strike at the same time to greet one another, and Hughes lands cleaner and gest Bannon's attention right off the bat.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",9,"Reddening up the Irishwoman's nose with her fists, she prompts Bannon into shooting in for a takedown.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",10,"Hughes turns the tables against her and tackles her to the mat, and various chants in French boom throughout the surprisingly populated building.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",11,"When Bannon closes up her guard and slows Hughes down, members of the audience start wooing rudely.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",12,"Bosacki calls for more action before long, and the crowd starts to turn on the strawweights as the grind has been embraced two minutes in.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",13,"Bannon lifts her right leg up for a rubber guard, but Hughes completely ignores it and retains heavy chest pressure.",FALSE,FALSE,0,0.00669285092428486,"","explicit_no_pause",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",14,"As little else happens besides a few Hughes punches, Bosacki calls for them to do something more.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",15,"""Sampage"" listens this time around, and she slugs Bannon with several powerful blows.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",16,"Bannon's eyes go wide as she takes fire, and she grabs hold of Hughes to slow her down.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",17,"Hughes looks to pass guard, and Bannon uses upkicks to push off her foe's chest.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",18,"The upkicks do not slow Hughes, who steps over to a crucifix position and starts hammering ""Mama B"" with elbows.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",19,"Bosacki asks for Bannon to fight back as Hughes thumps Bannon up with her elbows, and Bannon desperately bucks to get her arm free and drags Hughes back to half guard.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",20,"Hughes explodes over to take the back briefly during a scramble, and she settles for side control so she can beat down Bannon further.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",21,"When Bannon sits up, Hughes tries for a no-hook rear-naked choke.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",22,"The Irish fighter is able to escape the choke and work to her feet with the wall behind her, and Hughes knees her in the face and pops her with a left hand before the bell sounds.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",23,"Sherdog Scores Jay Pettry scores the round: 10-9 Hughes Chris Laporte scores the round: 10-9 Hughes Dayne Fox scores the round: 10-9 Hughes Round 2 The ladies get right to business, with Bannon knowing she dropped the round and starting off aggressively.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",24,"Kicks from the Irish athlete fly to all targets, as she sets up one high by starting on the lead leg.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",25,"Hughes shrugs it off and counters with an overhand right, and a bit of a mouse develops under her left eye.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 2","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",26,"Hughes is tough as nails as she catches a head kick and slings Bannon to the mat, where she punches her foe all the way down to the canvas.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",27,"Hughes sits comfortably in an open guard, and Bannon hooks her fingers inside of her opponent's gloves.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-imavov-borralho-06-09-2025"
"Shauna Bannon (116) vs. Sam Hughes (116)",28,"Bosacki warns her for the foul, and Hughes punishes her for this by bashing her with heavy ground-and-pound.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-imavov-borralho-06-09-2025"
