"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",1,"Luan Lacerda (136) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",2,"Saimon Oliveira (144: Missed Weight) BETTING PREVIEW | SCOUTING REPORT | ODDS: Lacerda (-250); Oliveira (+210) Round 1 The UFC touches down in Brazil for the first time since May 2024, when Alexandre Pantoja defeated Steve Erceg to defend his flyweight strap in the same building that the fights will be in today.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",3,"There are no championship bouts on the line, but there are some elite matchups in store for fight fans.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",4,"This curtain jerker is not that, as it pits two Brazilian together with a combined UFC record of 0-5.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",5,"The good news is that Lacerda (12-3, 0-2 UFC) or Oliveira (18-6, 0-3 UFC) will likely earn their first UFC victory today.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",6,"The bad is that it is marred by a comically egregious weight miss, as Oliveira blew past the bantamweight limit by eight pounds and surrendered 50% of his purse to Lacerda.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",7,"The bout otherwise remained together even though matches with lesser weight disparities have fallen through, and referee Jason Herzog retains his assignment for this catchweight contest.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",8,"Despite the weight difference, they still touch gloves. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Knowing that his opponent may not be able to push the pace for three hard rounds, Lacerda comes out firing.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",9,"Driving the heavier man back towards the fence, Lacerda strings punches and kicks together.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",10,"Oliveira responds with a leaping attack, and Lacerda grabs him out of the air and gingerly deposits him to the canvas.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",11,"After a brief stalemate, Oliveira muscles his opponent over in a reversal, but Lacerda does not settle on his back and explodes to his feet, where Oliveira quickly follows him.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",12,"The two men remain clinched, and the bloodthirsty crowd is heartily booing 90 seconds in.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",13,"Lacerda wrenches his man to the floor, and the audience gets pumped up by the throw.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",14,"Oliveira climbs back to his feet, and Lacerda hits a quick mat return.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",15,"Lacerda climbs into half guard, where he presses his elbow down on Oliveira's chin to make his life miserable and frame off for short but effective elbow strikes.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",16,"The Nova Uniao fighter postures up and drops down heavier elbows, resulting in Oliveira scrambling to either side.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",17,"Lacerda keeps him grounded and starts tenderizing Oliveira's midsection like a side of beef.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",18,"Oliveira is not a fan of this increased assault, and he turns and inadvertently gives up his back.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",19,"Almost instinctively, Lacerda wraps up the body triangle and starts fighting for the rear-naked choke.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",20,"Oliveira fights off the initial attempts and sits up on his knees, hanging on to the bell.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",21,"Sherdog Scores Jay Pettry scores the round: 10-9 Lacerda Dayne Fox scores the round: 10-9 Lacerda Tyler Treese scores the round: 10-9 Lacerda Round 2 The Brazilians do not touch 'em up to get going, as Oliveira is fired up and wants some revenge.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",22,"Oliveira hurls a couple high-flying kicks and spins with a back fist, and Lacerda bounds out of the way and blasts his foe's front leg with a couple powerful kicks.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",23,"Lacerda uses a head kick to set up a takedown, and when they hit the mat, Oliveira's attempt to wrap up the neck falters while Lacerda easily gets to half guard.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",24,"Lacerda does not waste much time before getting some damage going, sitting up to beat on the heavier fighter.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",25,"Oliveira attempts a leglock off his back, but Lacerda uses this to step over to side control.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-oliveira-gamrot-11-10-2025"
"Luan Lacerda (136) vs. Saimon Oliveira (144: Missed Weight)",26,"When Lacerda rains down punches from the side of the head, Oliveira turns over to give up his back.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-oliveira-gamrot-11-10-2025"
