"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Marek Bujlo (265) vs. Denzel Freeman (260)",1,"Marek Bujlo (265) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-tsarukyan-hooker-22-11-2025"
"Marek Bujlo (265) vs. Denzel Freeman (260)",2,"Denzel Freeman (260) BETTING PREVIEW | SCOUTING REPORT | ODDS: Freeman (-150); Bujlo (+130) Round 1 Who's up for a rousing fight card during the day stateside on a Saturday?",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-tsarukyan-hooker-22-11-2025"
"Marek Bujlo (265) vs. Denzel Freeman (260)",3,"Fight fans in the U.S. may grumble about having to get out of bed early for prelims, meanwhile the Euro faithful are thanking their lucky stars to not have to pull one more all-nighter to cover this beautiful sport of ours.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-tsarukyan-hooker-22-11-2025"
"Marek Bujlo (265) vs. Denzel Freeman (260)",4,"Inside of the ABHA Arena in Doha, Qatar, the UFC makes its first appearance and has plenty of Russians and those from the CIS represented on the lineup.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-tsarukyan-hooker-22-11-2025"
"Marek Bujlo (265) vs. Denzel Freeman (260)",5,"The first of a whopping 14 contests today comes in the heavyweight division, as a pair of big men with 11 finishes across their 12 victories ply their trades against one another.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-tsarukyan-hooker-22-11-2025"
"Marek Bujlo (265) vs. Denzel Freeman (260)",6,"Both Bujlo (6-0, 0-0 UFC) and ""Luke Fox"" Freeman (6-1, 0-0 UFC) will be making their organizational debuts, and referee Rich Mitchell may end up with a souvenir based on how hard these two plan to swing on one another.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-tsarukyan-hooker-22-11-2025"
"Marek Bujlo (265) vs. Denzel Freeman (260)",7,"Their huge fists nearly come together before they try to lop one another's head off, and it's on with the show. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Bujlo may have tried to touch gloves, but Freeman would rather get right into his preferred range lobbing low kicks.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-tsarukyan-hooker-22-11-2025"
"Marek Bujlo (265) vs. Denzel Freeman (260)",8,"He scores a few as the pace is slow in the early going, popping the Polish man with them until Bujlo rushes him with a short flurry.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-tsarukyan-hooker-22-11-2025"
"Marek Bujlo (265) vs. Denzel Freeman (260)",9,"Freeman checks one coming back and drills his man with a straight left hand down the pipe.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-tsarukyan-hooker-22-11-2025"
"Marek Bujlo (265) vs. Denzel Freeman (260)",10,"The two, in opposing stances with Freeman southpaw to Bujlo orthodox, paw at one another trying to figure out their distance.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-tsarukyan-hooker-22-11-2025"
