"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",1,"Konklak Suphisara (115.5) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",2,"Alexia Thainara (115.5) BETTING PREVIEW | SCOUTING REPORT | ODDS: Thainara (-240); Suphisara (+200) Round 1 Kerfuffle after kerfuffle led to this event that at one time had what would have been a record 17 books saw the tally plummet to 12 on fight night.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",3,"The losses include both Tafa brothers, so fans will have just one big-man battle tonightâand for a time, it was the first bout of the evening.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",4,"Instead, due to reshuffling, the curtain jerker comes at 115 pounds.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",5,"Suphisara (10-3, 7-2 UFC), the birth name of the Thai fighter known as ""Loma Lookboonmee,"" shall be called her combat name for the remainder of this write-up.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",6,"As for her opponent, she takes on the surging Brazilian Thainara (12-1, 1-0 UFC), whose wrangling of Molly McCann was so meaningful that ""Meatball"" hung up her glovesâfor now.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",7,"Referee Matt Wynne will take charge of the first bout of the morning, as it is 7 a.m. locally in Perth today.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",8,"The ladies rub the sleep out of their eyes during the announcements and clap hands to signal that they are ready to punch one another in the face repeatedly. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Thainara is the immediate aggressor, stalking the Thai down and ultimately walking into a leg kick and an elbow.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",9,"Thainara fires back, but Lookboonmee stands her ground and pops her with a one-two and a body kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",10,"The Brazilian comes up short on her own one-two as she circles around to try to find an angle in, and Lookboonmee is evasive as can be and ready to counter.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",11,"Thainara catches her with a right hand down the pipe, and she uses the strike to surge forward and press into a clinch.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",12,"The takedown effort from her fails almost before it materializes, and Lookboonmee thanks her for her push by getting a tiny amount of space and booting Thainara upside the head with her shin.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",13,"Thainara shakes it off and lines up single strikes down the middle, with her kicks largely inaccurate.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",14,"Lookboonmee steps in with an elbow, and Thainara gives her a look like, ""We're throwing elbow stuff now"" and fires off a spinning back kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",15,"When Lookboonmee bounces off the cage wall, Thainara rushes after her to pursue a takedown.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",16,"On a redoubled effort, the Brazilian secures a trip takedown and bowls Lookboonmee to the mat, where she lands in half guard and goes right to smacking Lookboonmee around with short ground strikes.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",17,"Lookboonmee looks to cling to her foe, and she turns to a side to stand while still being close enough to her foe to not get caught with something.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",18,"The Thai works to her feet with Thainara still clinging to her.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",19,"Using sheer horsepower, Thainara shrugs off a flush elbow and wrenches Lookboonmee off her feet and drags her to the mat, where she opens up with offense.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",20,"Bludgeoning Lookboonmee with offense, she finds an opening and grips hold of a can opener on the back of the Thai's neck.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",21,"Lookboonmee is uncomfortable but survives it, so Thainara transitions to nasty 12-to-6 elbows to complete the round.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",22,"Sherdog Scores Jay Pettry scores the round: 10-9 Thainara Devin Tejada scores the round: 10-9 Thainara Tristen Critchfield scores the round: 10-9 Thainara Round 2 Lookboonmee opens up by using distance strikes, keeping the Brazilian off of her.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-ulberg-reyes-27-09-2025"
"Konklak Suphisara (115.5) vs. Alexia Thainara (115.5)",23,"Thainara answers her with her own offering of kickboxing moves including a quick side kick, and she transitions her way forward to tackle Lookboonmee to the floor.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC-ulberg-reyes-27-09-2025"
