"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",1,"Uran Satybaldiev (204) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-walker-zhang-23-08-2025"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",2,"Diyar Nurgozhay (205.5) Round 1 Greetings to those in the Western Hemisphere who love fisticuffs enough to tune in at 2 a.m.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-walker-zhang-23-08-2025"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",3,"Eastern time, or wereâahemâshanghaied into being here, like your friendly neighborhood play-by-play man.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-walker-zhang-23-08-2025"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",4,"First up in the world's second largest city is a light heavyweight clash between Kyrgyzstan's Satybaldiev and Kazakhstani propect Nurgozhay.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-walker-zhang-23-08-2025"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",5,"Third man in the cage is the legendary Vitor ""Shaolin"" Ribeiro.",FALSE,FALSE,0,0.00669285092428486,"strong_anchor","gate_not_started",NA,"Round 1","UFC-walker-zhang-23-08-2025"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",6,"Nurgozhay is southpaw, Satybaldiev orthodox, and they engage in a couple of awkward clashes near the center of the Octagon.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-walker-zhang-23-08-2025"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",7,"Nurgozhay with a high kick that glances off the shoulder.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-walker-zhang-23-08-2025"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",8,"A moment later, Satybaldiev walks him right onto a straight right hand that drops him in his tracks.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-walker-zhang-23-08-2025"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",9,"Satybaldiev pounces, drops a few blows as Nurgozhay recovers, then applies a kimura as his foe tries to stand.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-walker-zhang-23-08-2025"
"Uran Satybaldiev (204) vs. Diyar Nurgozhay (205.5)",10,"Satybaldiev holds onto the arm and looks to have his man in danger, but Nurgozhay extricates his limb.Satybaldiev takes top position, applies an Ezekiel choke, and after a few moments' adjustment, elicits the tap.Impressive work by Uran Satybaldiev, who may not have absorbed a single significant strike on his way to the win. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement The Official Result Uran Satybaldiev def.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-walker-zhang-23-08-2025"
