"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Martin Buday (266) vs. Marcus Almeida (254)",1,"Martin Buday (266) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC-whittaker-deridder-26-07-2025"
"Martin Buday (266) vs. Marcus Almeida (254)",2,"Marcus Almeida (254) BETTING PREVIEW | SCOUTING REPORT | ODDS: Almeida (-210); Buday (+175) Round 1 A couple weeks removed from the dramatic conclusion of the heavyweight decision streak, the promotion opens up its event in Abu Dhabi, United Arab Emirates, with big men kicking things off.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-whittaker-deridder-26-07-2025"
"Martin Buday (266) vs. Marcus Almeida (254)",3,"The massive Buday (15-2, 6-1 UFC), who cuts a significant amount of weight to get to the 266-pound limit, will have some serious poundage in his favor when he faces Almeida (5-1, 0-0 UFC).",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|gate_not_started|injury_stoppage",NA,"Round 1","UFC-whittaker-deridder-26-07-2025"
"Martin Buday (266) vs. Marcus Almeida (254)",4,"The latter recently came over from One Championship, and he will be making a short-notice debut while looking to keep his 100% finish rate intact.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC-whittaker-deridder-26-07-2025"
"Martin Buday (266) vs. Marcus Almeida (254)",5,"The big fellas meet in the middle without a glove touch as referee Marc Goddard clocks them in, and it's on with the show. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Buday opts against the glove touch so he can sprint at his opponent, and he is quick to prepare himself to defend against the takedown.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-whittaker-deridder-26-07-2025"
"Martin Buday (266) vs. Marcus Almeida (254)",6,"""Buchecha"" tries for a single-leg takedown, and Buday's sheer size allows him to squash Almeida and push him down to the mat.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-whittaker-deridder-26-07-2025"
"Martin Buday (266) vs. Marcus Almeida (254)",7,"Buday backs off, smacks his foe's lead leg a few times with kicks, and Goddard has the newcomer stand up.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-whittaker-deridder-26-07-2025"
"Martin Buday (266) vs. Marcus Almeida (254)",8,"Buday jabs his way forward, and he stops another single in its tracks.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-whittaker-deridder-26-07-2025"
"Martin Buday (266) vs. Marcus Almeida (254)",9,"Buday fights off a third by pushing Almeida to his back, landing a hammerfist or two before getting the heck out of dodge and not playing in the guard of the BJJ wiz.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-whittaker-deridder-26-07-2025"
"Martin Buday (266) vs. Marcus Almeida (254)",10,"Goddard has Almeida stand up again, and the fighters both launch single punches at one another.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC-whittaker-deridder-26-07-2025"
