"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Bekzat Almakhan (136) vs. Brad Katona (136)",1,"Bekzat Almakhan (136) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",2,"Brad Katona (136) BETTING PREVIEW | SCOUTING REPORT | ODDS: Almakhan (-180), Katona (+150) Round 1 The UFC is back in Montreal, the city of the world-famous Expos, for the first time in over a decade.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",3,"Two champions will attempt to defend their thrones for the first timesâwith the first of those two on her second stint as a titleholder.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",4,"Before then, an even 10 matches from flyweight to light heavyweight will play out with plenty of Canadians in tow to give the home crowd someone to support in most of those bouts.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",5,"The first of those fights pits Canada's Katona (14-4, 4-4 UFC) against the hard-swinging Almakhan (11-2, 0-1 UFC) at 135 pounds.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",6,"With referee Jason Herzog taking charge of the contest, the two men consider touching gloves but bail so they can get after it.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",7,"It's time for some action.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",8,"Almakhan takes the center of the cage, allowing Katona to circle around him.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",9,"Almakhan leads the dance with a body shot, and then strings together a few punches up top before Katona could get away.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",10,"When Katona settles down, Almakhan surges towards him and connects with a trio of punches.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",11,"Katona ducks face-first into an uppercut, wears it well and counters to give the Kazakhstani a taste of his own medicine.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",12,"Almakhan appears to have his foe's timing early, as he bounces in and out while watching Katona's movement carefully.The moment Katona is about to attack, Almakhan offers a destructive uppercut that sends Katona crashing to his back.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
"Bekzat Almakhan (136) vs. Brad Katona (136)",13,"Almakhan leaps on top, hammering ""Superman"" with hammerfists that prove to be Katona's kryptonite.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC315-muhammad-dellamaddalena-10-05-2025"
