"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",1,"Veronica Hardy (124.5) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",2,"Brogan Walker (125.5) BETTING PREVIEW | SCOUTING REPORT | ODDS: Hardy (-625), Walker (+455) Round 1 Toparaphraselightweight Terrance McKinney, nothing in life is guaranteed except death, taxes and Veronica Hardy (9-5-1, 4-5 UFC) being the first fight of the night.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",3,"With tax season months away and no mortality in sight, the guarantee falls to the latter, who is indeed serving as the UFC 320 curtain jerker for her seventh event in a rowâlikely a UFC record if someone tracked that oddity.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",4,"She draws Invicta FC vet Walker (7-4, 0-2 UFC), whose run has not gone well in the promotion as she returns from a lengthy layoff.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",5,"A pink slip might be handed out to the unsuccessful flyweight in this contest at night's end, and referee Jason Herzog will make sure everything is above board to then.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",6,"The ladies bump their firsts together to initiate the evening's frivolities. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Walker slowly walks forward to engage, ignoring a calf kick and sitting down on a right hand when Hardy comes towards her.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",7,"Walker chops at the front leg after a lull, and she swats out with her left hand to no avail.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",8,"Hardy swings back with a pair of counters, her lefts clipping Walker on the chin.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",9,"As Hardy keeps pushing the pace, she bowls Walker over and assumes top position.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",10,"Walker keeps tight to not let Hardy posture up and get much offense off, resulting in another stalemate.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",11,"Hardy lifts her foe up and slams her down in an effort to break out of the grip, and when that does not work, she scores a single right hand.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",12,"Walker hangs on tight, and Hardy once more elevates her to slam her back on the floor.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",13,"Hardy gladly stacks her up and nullifies her, with little more happening than Hardy presiding on top.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",14,"The Venezuelan gets off a strike or two, and Walker forces her way back to her feet.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",15,"On her way up, Walker is blasted in the face by two quick head kicks, and she shakes out the cobwebs and turns Hardy to the fencing.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",16,"Using a trip, Walker gets Hardy off her feet, and she has to fight through Hardy's offensive guard and upkicks to establish herself.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",17,"Hardy keeps Walker from climbing into top position until Walker sells out for attack.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",18,"This is the worst thing she can do, as she falls straight into an armbar, and it is locked as Hardy rolls over.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",19,"Time expires, and Hardy shouts to Herzog that her opponent tapped.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",20,"Herzog calls for the replay officials to check on the submission.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",21,"Sherdog Scores Jay Pettry scores the round: 10-9 Hardy Dayne Fox scores the round: 10-9 Hardy Scottie Smith scores the round: 10-9 Hardy Round 2 To keep paraphrasing today, in the similar words of Tito Ortiz, there was never no tap.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",22,"The second round begins, with Walker cleared to continue having not surrendered.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",23,"Both ladies stay away from engaging for much of the first minute, barring a low kick or two.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",24,"Walker reaches at the end of a right hand, only for Hardy to counter her cleanly.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",25,"Walker tosses out a low kick, and she is countered over the top with a right hand.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",26,"Hardy connects with a left hand and tries to chain a few strikes behind it, but ""The Bear"" escapes in time.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",27,"Both women paw at one another, and they swing big right hands behind them.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",28,"Hardy knocks Walker clean off her feet, and she raises her arms in the air and allows Walker to stand rather than trying to finish the job.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",29,"Hardy lashes out with short but effective combinations, ending at least one with a solid body kick but the punches are getting through more and more.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",30,"Walker tries to catch the kick, but it lands first and Hardy pulls it back in time.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",31,"Hardy strings three punches together, beating Walker to the punch and pump-faking at the end of it to make her flinch.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",32,"Hardy sinks a kick in under the elbow, and she dodges one coming back her way to fire back harder.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",33,"Walker punches her way into a takedown, and she tackles Hardy to the mat with seconds to spare.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
"Veronica Hardy (124.5) vs. Brogan Walker (125.5)",34,"Hardy fights back by setting up a leglock, and Walker rains down hammerfists to the bell.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC320-ankalaev-pereira-04-10-2025"
