"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",1,"Jaqueline Amorim (116) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",2,"Mizuki Inoue (115) BETTING PREVIEW | SCOUTING REPORT | ODDS: Amorim (-440), Inoue (+340) Round 1 Ladies will open up the Abu Dhabi-based pay-per-view card that starts early for stateside audiences, and women will not return again after this bout until the co-main attraction.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",3,"It is strawweight for both matches involving female fighters, a division with a logjam of contenders that may soon include either Amorim (10-1, 4-1 UFC) or Inoue (15-6, 2-1 UFC), depending on who prevails.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",4,"The two grapple-heavy 115ers will be joined in the cage by referee Kerry Hatley, and the day commences with a glove touch.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",5,"Amorim rushes out behind a front kick, and both women are energized and jittery to engage.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",6,"They proceed to paw at one another with half-hearted range-finding jabs, with the Brazilian beating her foe to the punch during these engagements.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",7,"Amorim has her kicks caught, but Inoue cannot do anything with the limb and it already struck her so she lets it go on two occasions.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",8,"Dipping in behind a jab, Inoue works her way forward while Amorim slides laterally.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",9,"Amorim's front kick buzzes the side of Inoue's face, and she gets backed to the corner thanks to the pump-fakes and occasional lead hooks from her opponent.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",10,"When Inoue advances, Amorim counters with a level change to take her opponent off her feet.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",11,"Inoue scrambles to back to her feet deftly, but Amorim follows her back upright to be able to circle around take her back standing.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",12,"Amorim use her jiu-jitsu to simultaneously threaten while securing the back, and she wrenches Inoue to the mat from behind.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",13,"From there, a rear-naked choke attempt quickly materializes.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",14,"Inoue turns the proper direction to break it up, so Amorim snags it under the chin from an unorthodox angle.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",15,"The woman from Japan keeps turning and twisting, managing not only to break free from the submission but to turn around with Amorim's body lock wrapped around her waist.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",16,"Amorim locks Inoue down when placed on her back, preventing all but the lightest of offense getting off from Inoue.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",17,"Inoue sneaks in a few elbows, and she cracks Amorim with a surprisingly powerful stream of left hands that knock Amorim's head around and shock her a bit.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",18,"As Inoue pounds away, possibly stealing the round from her vicious ground-and-pound, the horn sounds.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",19,"Sherdog Scores Jay Pettry scores the round: 10-9 Inoue Brian Knapp scores the round: 10-9 Inoue Tyler Treese scores the round: 10-9 Inoue Round 2 The two ladies get back to it, with Inoue putting on the gas while Amorim stays on the outside peppering with kicks.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",20,"Inoue jabs her way into a few right hands, marking up Amorim's nose and forcing her to shoot in on her hips.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",21,"Inoue smoothly stuffs her opponent and presses her against the fencing, where she jacks Amorim in the jaw with shoulder strikes.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",22,"Inoue manages to drag her opponent to the floor, but this is where Amorim wants to be, as submissions are in play.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",23,"The Brazilian isolates Inoue's right leg and wraps her hands underneath it to put together a kneebar, and she tries to crank it.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",24,"Inoue defends by keeping her weight pressed down on her own limp to not allow Amorim to extend it, and this shuts down the attempt entirely.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",25,"From there, Inoue sits up and squirms to work back to her feet, but finds herself still engaged in a tie-up with her adversary.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",26,"After getting pressed against the wire for some time, Amorim decides to pull guard and lock things down.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",27,"Inoue slowly, calmly postures up, and she drives down some ground strikes much to Amorim's chagrin.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",28,"Inoue sits comfortably in Amorim's guard, stacking her up to shut down the worst of the subs, but Amorim still manages to roll upside-down and hunt for a last-second armbar.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",29,"Inoue shrugs it off and smacks the Brazilian with hammerfists until the round ends.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",30,"Sherdog Scores Jay Pettry scores the round: 10-9 Inoue Brian Knapp scores the round: 10-9 Inoue Tyler Treese scores the round: 10-9 Inoue Round 3 The 115ers clap hands to reintroduce themselves, and Inoue appears the fresher of the two but is not entirely out of the woods yet.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",31,"Amorim barrels towards her, hurling a flurry of punches, and Inoue takes a few on the chin and rolls with others.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC321-aspinall-gane-25-10-2025"
"Jaqueline Amorim (116) vs. Mizuki Inoue (115)",32,"Amorim backs off to gain a full head of steam, and she shoots in from a wide berth for a takedown that Inoue sees coming from a mile away.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFC321-aspinall-gane-25-10-2025"
