"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",1,"Muhammadjon Naimov (146) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",2,"Mairon Santos (147.5: Missed Weight) BETTING PREVIEW | SCOUTING REPORT | ODDS: Santos (-278), Naimov (+225) Round 1 Jason Herzog is the referee.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",3,"Santos rushes forward with a front kick that Naimov evades with ease.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",4,"Naimov with a hard low kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",5,"Santos answers with a solid leg kick of his own.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",6,"Both men are deliberate to start.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",7,"Santos just misses on a head kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",8,"Santos catches a kick and backs his foe into the fence.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",9,"Naimov fires back.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",10,"Santos counters a low kick and makes Naimov stumble momentarily with a straight right.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",11,"Naimov kicks the body and then has a shot denied.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",12,"Santos kicks the body.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",13,"A high kick by Santos slams of Naimov's forearm.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",14,"Naimov shoots and they collide in the clinch.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",15,"Santos indicates a clash of heads and Herzog calls time.",FALSE,FALSE,0,0.00669285092428486,"","injury_stoppage",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",16,"It's a brief respite and they resume in the clinch.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",17,"Naimov grinds his man into the wire, and Santos slaps his back, almost out of annoyance.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",18,"Santos is able to turn Naimov around briefly, but he loses the advantage.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",19,"The featherweights finally separate with about 30 seconds to go and Naimov just misses the mark on a spinning wheel kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",20,"Santos fires a jumping switch kick off his foe's arms at the horn.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",21,"Sherdog Scores Tristen Critchfield scores the round: 10-9 Santos Brian Knapp scores the round: 10-9 Santos Tyler Treese scores the round: 10-9 Santos (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Round 2 Santos opens with a hard leg kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC323-dvalishvili-yan-06-12-2025"
"Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight)",22,"They tie up in the center of the Octagon, and Santos secures a body lock.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFC323-dvalishvili-yan-06-12-2025"
