"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",1,"Piera Rodriguez (116) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",2,"Ketlen Souza (116) BETTING PREVIEW | SCOUTING REPORT | ODDS: Rodriguez (-190); Souza (+160) Round 1 It's a lovely day for combat.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",3,"For those that missed the wonderous confines of the UFC Apex, you will find that the facility has upgraded since it was last seen on a broadcast.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",4,"Twenty-four combatants tonight will break it in, starting with two ladies in the strawweight division needing a win to either stay above .500 or exceed that benchmark.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",5,"Rodriguez (10-2, 3-2 UFC) is the one who could drop to an even UFC record should she fall, while Brazil's Souza (15-5, 2-2 UFC) could go for a victory to stay in the good graces of the matchmakers.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",6,"Referee Chris Tognoni will keep things genial during the mutual melee, bearing witness to a glove touch after clocking them in.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",7,"Away we go. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Souza quickly claims the center of the cage, and it is Rodriguez who starts first with a low kick.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",8,"Souza immediately replies with one back, and they pitch them at one another to find their leg range.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",9,"Souza smacks Rodriguez with one that makes her recoil her leg awkwardly, and then checks the comeback.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",10,"The low kicks are primarily the only strikes thrown the first minute, with Rodriguez circling along the outside as she tries to look for a jab as well.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",11,"When Souza connects with her own jab, Rodriguez steps in and knees her in the body a few times before backing off.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",12,"Rodriguez then jams a front kick to the body and ties Souza up again to deliver a few knees, ending with a trip attempt that fails.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",13,"Souza disengages and works her way forward, clipping Rodriguez with two hooks and a step-in knee.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",14,"Souza drives through two more hooks on the chin, her left hand marking up Rodriguez' nose in the process.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
"Piera Rodriguez (116) vs. Ketlen Souza (116)",15,"Rodriguez prods out jabs and front kicks, and she scores her own left hand that gets Souza's attention.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-108-taira-park-02-08-2025"
