"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",1,"Talita Alencar (115) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFCVegas-110-garcia-onama-01-11-2025"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",2,"Ariane Carnelossi (115.5) BETTING PREVIEW | SCOUTING REPORT | ODDS: Alencar (-250); Carnelossi (+210) Round 1 After a rousing series of fight cards around the world, the UFC recedes back to the Apex for half of its remaining shows this year.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-110-garcia-onama-01-11-2025"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",3,"The first of two weekends in a row, the promotion's headquartersâreportedly with new, revamped internal facilities even including concession stands (that are not open yet)âwill play host to UFC Fight Night 263, also known as UFC Vegas 110.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-110-garcia-onama-01-11-2025"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",4,"For the sixth time in the last eight events, women will kick off the violent festivities.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-110-garcia-onama-01-11-2025"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",5,"Strawweights take center stage, where a loss will almost certainly save their place on the roster while a defeat does not guarantee another match in the Octagon.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-110-garcia-onama-01-11-2025"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",6,"Alencar (6-1-1, 2-1 UFC) has reached the final bout of her initial four-fight deal, so this one will matter more than the others.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-110-garcia-onama-01-11-2025"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",7,"She battles the returning Carnelossi (15-3, 3-2 UFC), who has only competed once in the last three years.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-110-garcia-onama-01-11-2025"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",8,"The two will be joined in the cage by referee Mark Smith, who clocks them in as they bump fists.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFCVegas-110-garcia-onama-01-11-2025"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",9,"Carnelossi comes out of her corner loaded for bear, and she bashes Alencar in the face right off the bat.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-110-garcia-onama-01-11-2025"
"Talita Alencar (115) vs. Ariane Carnelossi (115.5)",10,"Alencar bounces back, rebounds off the fencing and pushes out with kicks.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFCVegas-110-garcia-onama-01-11-2025"
