"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Jackson McVey (193.5) vs. Zachary Reese (194)",1,"Jackson McVey (193.5) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",2,"Zachary Reese (194) BETTING PREVIEW | SCOUTING REPORT | ODDS: Valentin (-160); McVey (+130) Round 1 It's fight day, like many Saturdays before this one.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",3,"With a dozen bouts playing out the next six-ish hours at the UFC Apex, ranked talents may be at a premium but hopefully the action makes this night worthwhile.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",4,"The broadcast kicks off without touching on the betting scandal that blossomed last week, so it's anyone's guess which direction that will take.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",5,"Bring on the mutual combat.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",6,"With this pairing coming together this week, a pair of middleweights elected to set this bout at 195 pounds to alleviate some of the pain of weight cutting.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|gate_not_started|injury_stoppage",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",7,"McVey (6-1, 0-1 UFC) was planning on Robert Valentin, but in his injured stead will be Texas' Reese (9-2, 1 NC; 3-2, 1 NC UFC).",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",8,"The athletes bump fists in front of referee Chris Tognoni to open up the festivities.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",9,"McVey offers out an oblique kick, and Reese immediately counters with a left hand over the top.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",10,"Reese sits down on a nasty calf kick and takes McVey off-balance, prompting McVey to surge forward and attack.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",11,"McVey bashes his man from up close with elbows and short strikes, and Reese shakes them off and delivers a plethora of damaging uppercuts to shake McVey up.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
"Jackson McVey (193.5) vs. Zachary Reese (194)",12,"The two proceed to rip into one another, hammering one another in a brutal muay thai fashion with blood already flowing a minute in and some harm inflicted on both sides.",FALSE,FALSE,0,0.00669285092428486,"","injury_eye_context|injury_stoppage",NA,"Round 1","UFCVegas-111-bonfim-brown-08-11-2025"
