"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",1,"Tecia Pennington (114.5) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",2,"Luana Pinheiro (115.5) BETTING PREVIEW | SCOUTING REPORT | ODDS: Pennington (-455), Pinheiro (+350) Round 1 After posting up in a few arenas around North America, it was time for the UFC to hibernate back in the Apex for a card that will likely see pink slips fly in preparation for the upcoming season of Dana White's Contender Series.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",3,"Nine athletes across this 12-fight lineup hold UFC records of .500 or lowerâalthough a couple are due to UFC debutantsâwith just four fighters ranked by the promotion on the billing.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",4,"Interestingly enough, those with numbers next to their name come in the main event and this curtain jerker.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",5,"Two ladies in the top 15 of the strawweight division kick things off today, as Pennington (14-7, 10-7 UFC) looks to put a win streak together for the first time in years at the expense of skidding Brazilian Pinheiro (11-4, 3-3 UFC).",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",6,"Referee Chris Tognoni will draw the first assignment of the day, one that begins as the ladies clap hands.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",7,"It's on with the show.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",8,"Pennington takes to the center of the cage, peeking out behind her jab with a low kick.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",9,"Always moving, the shorter woman pecks at the front leg of the Brazilian with a couple more kicks.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",10,"Pennington shocks her opponent by firing off a low kick and then nailing Pinheiro in the face with her shin, and Pinheiro has to take a second to blink it out but is otherwise uncompromised.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",11,"Pennington recoils her leg, and Pinheiro turns her hips into her own leg kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",12,"The two strawweights work on one another with chopping kicks, with Pinheiro's heavier but Pennington tossing out more.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",13,"The latter fakes one kick to work her way in with a punch flurry, and Pinheiro backs her off with a pair of winding hooks.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",14,"Pennington times a kick to a right hand, stunning her foe for a second, and backing off to avoid the counter.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",15,"Pennington sticks and moves, only absorbing a front kick but scoring her own series of quick punches on the chin.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",16,"Pennington turns to stomp on the knee with a kick, and both women connect with fists while Pennington hits hard at the end of a right hand.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",17,"Pinheiro bites down on her mouthpiece to sling back an overhand right, and it is one-and-done before ""The Tiny Tornado"" zips back.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",18,"Pennington dings her opponent with a burst of punches, and Pinheiro throws caution to the wind by swinging heavier back.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",19,"The Brazilian shoots in for a takedown, and Pennington shuts it down before it can materialize although she takes a knee on the chin on the way out.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",20,"Pinheiro gets the better of her adversary with a right hand that sets Pennington on her seat with seconds to spare in the round, and she leaps on top to deliver ground-and-pound.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",21,"As Pinheiro swings with Pennington on her back, the round ends. (function (v,i) { let screenWidth = i.innerWidth; if (screenWidth <= 400) { document.getElementById('adViAi').style.display = 'none'; return; } var scp = v.createElement('script'), config = { ChannelID: '0nqr3w5ff', AdUnitType: '2', PublisherID: '256607409443141', PlacementID: 'pltU2JIgmaTXI9XW18z', DivID: '', IAB_Category: 'IAB17', Keywords: '', Language: 'en-us', BG_Color: '', Text_Color: '', Font: '', FontSize: '', }; scp.src='https://s.vi-serve.com/tagLoader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getElementsByTagName('head')[0] || v.documentElement.appendChild(v.createElement('head'))).appendChild(scp); })(document, window); Advertisement Sherdog Scores Jay Pettry scores the round: 10-9 Pinheiro Brian Knapp scores the round: 10-9 Pennington Tristen Critchfield scores the round: 10-9 Pinheiro Round 2 Pennington reintroduces herself to start the right with a front kick on the Brazilian's chin, with no interest in touching gloves first.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",22,"Pinheiro reaches her at the end of a right hand, but Pennington is no worse for wear as they back apart to return to kickboxing range.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",23,"Both women are inaccurate with their kicks up high, with Pennington whiffing on a hook kick and then a head kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",24,"Pinheiro slaps her foe's lead leg once, and she pounds one on the inside that lands with a thud.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",25,"The two crash into one another with swarming fists, but the close proximity to one another leads to few actually landing.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",26,"Pinheiro peppers the front leg with a kick and dances away from the counters, while finding her home with a hard right hand.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",27,"The Brazilian allows the flurries from the ""Tiny Tornado"" to buzz past her or come up short, and she times a straight right hand that stings Pennington.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",28,"Pennington steels herself and lets go with her own right hand that shakes up Pinheiro and makes her smile.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",29,"Pennington presses forward, forcing Pinheiro to fight off her back foot and looking for a left to the body and right to the head.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",30,"Pennington stomps at the knee again effectively, only for Pinheiro to immediately answer with two leg kicks.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",31,"Pennington swings past her adversary and gets clipped on the way with a check left hook, but it does not stop her from her forward movement.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",32,"Pinheiro rings her bell with a one-two, forcing a spin kick that is nowhere close to the mark.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",33,"Pennington moves in close to wrap her hands around the waist and wrench Pinheiro down, but the Brazilian keeps her balance with the fence and knees Pennington a couple times until the horn sounds.",FALSE,FALSE,20,0.0474258731775668,"strong_anchor","",NA,"Round 2","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",34,"Sherdog Scores Jay Pettry scores the round: 10-9 Pinheiro Brian Knapp scores the round: 10-9 Pinheiro Tristen Critchfield scores the round: 10-9 Pinheiro Round 3 They high-five after 10 minutes of fairly solid kickboxing, and Pinheiro leads off first with punches that set up a leg kick.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",35,"Pennington jabs her back, hopping away from a low kick and whipping a hook kick that slaps into the face and a side kick that pounds into the torso.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",36,"The second kick drives Pinheiro back a few steps, only for Pennington to get up close to her and plant a knee on her stomach.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",37,"Pennington reaches with her kicks, aimed at the body and lead leg, and she maintains these strikes to keep Pinheiro at bay.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",38,"Pennington dodges a head kick and lands her own side kick, and she slides just out of range of a leaping left hook.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",39,"Pennington axe kicks, hook kicks, spins with a back fist that nails Pinheiro and then skirts away to not get countered.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",40,"As Pinheiro comes towards her, Pennington unleashes a hard side kick that pushes straight into Pinheiro's chest.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",41,"When Pennington sets up her hook kick to spinning back fist series again, Pinheiro ducks it and hits a takedown to put ""The Tiny Tornado"" on her seat.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",42,"Pennington works immediately back to her feet and turns the Brazilian around, only for Pinheiro to hit a judo throw and put Pennington back down.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",43,"Pennington's get-up game allows her to work her way up even though Pinheiro has her arms wrapped around her, and Pinheiro succeeds in mat returning her for a second.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
"Tecia Pennington (114.5) vs. Luana Pinheiro (115.5)",44,"When Pennington stands, Pinheiro hip tosses her to the ground, and she tries to get going in the guard while Pennington sets up a triangle choke off her back.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 3","UFCvegas-106-burns-morales-17-05-2025"
