"bout","sid","sentence","has_foul_raw","has_foul","rule_score","rule_conf","rule_reasons_pos","rule_reasons_neg","time_str","round_mentioned","event"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",1,"Rayanne dos Santos (116) vs.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,NA,"UFCvegas-107-blanchfield-barber-31-05-2025"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",2,"Alice Ardelean (115.5) BETTING PREVIEW | SCOUTING REPORT | ODDS: dos Santos (-265), Ardelean (+215) Round 1 After an essential recovery weekend from the UFC's never-ending train of fight cards, the engines of the promotion rev up very slowly as the UFC Apex will be its first stop.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-107-blanchfield-barber-31-05-2025"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",3,"This much-maligned fight card has fallen down to 10 bouts with a few catchweights and some missed opportunities for the fighters that needed them most.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-107-blanchfield-barber-31-05-2025"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",4,"The action begins at 115 pounds, where a pair of ladies with 0-2 records in the promotion thus far vie for their first win.",FALSE,FALSE,0,0.00669285092428486,"","gate_not_started",NA,"Round 1","UFCvegas-107-blanchfield-barber-31-05-2025"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",5,"Whether it is dos Santos (14-8, 0-2 UFC) or Ardelean (9-7, 0-2 UFC) who gets their hand raised after the next possible 15 minutes of combat, referee Chris Tognoni will be the first to know.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-107-blanchfield-barber-31-05-2025"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",6,"The strawweights touch 'em up to signal respect towards one another, and then they let the fun begin.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-107-blanchfield-barber-31-05-2025"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",7,"Ardelean leads off immediately behind a jab, and she walks dos Santos down and measures her with a one-two.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-107-blanchfield-barber-31-05-2025"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",8,"Dos Santos stands her ground and slugs right back, clipping Ardelean with heavy hooks.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-107-blanchfield-barber-31-05-2025"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",9,"Ardelean grins, wanting to trade leather, and the Brazilian is happy to oblige her.",FALSE,FALSE,0,0.00669285092428486,"","",NA,"Round 1","UFCvegas-107-blanchfield-barber-31-05-2025"
"Rayanne dos Santos (116) vs. Alice Ardelean (115.5)",10,"They take turns one after the other to engage their offense, with dos Santos landing cleaner but showing a bit of swelling on the side of her right eye.",FALSE,FALSE,0,0.00669285092428486,"strong_anchor","injury_eye_context|injury_stoppage",NA,"Round 1","UFCvegas-107-blanchfield-barber-31-05-2025"
